DATE,AAA
1/1/1919,5.35
2/1/1919,5.35
3/1/1919,5.39
4/1/1919,5.44
5/1/1919,5.39
6/1/1919,5.4
7/1/1919,5.44
8/1/1919,5.56
9/1/1919,5.6
10/1/1919,5.54
11/1/1919,5.66
12/1/1919,5.73
1/1/1920,5.75
2/1/1920,5.86
3/1/1920,5.92
4/1/1920,6.04
5/1/1920,6.25
6/1/1920,6.38
7/1/1920,6.34
8/1/1920,6.3
9/1/1920,6.22
10/1/1920,6.05
11/1/1920,6.08
12/1/1920,6.26
1/1/1921,6.14
2/1/1921,6.08
3/1/1921,6.08
4/1/1921,6.06
5/1/1921,6.11
6/1/1921,6.18
7/1/1921,6.12
8/1/1921,5.99
9/1/1921,5.93
10/1/1921,5.84
11/1/1921,5.6
12/1/1921,5.5
1/1/1922,5.34
2/1/1922,5.29
3/1/1922,5.23
4/1/1922,5.15
5/1/1922,5.13
6/1/1922,5.08
7/1/1922,5
8/1/1922,4.96
9/1/1922,4.93
10/1/1922,4.97
11/1/1922,5.09
12/1/1922,5.08
1/1/1923,5.04
2/1/1923,5.07
3/1/1923,5.13
4/1/1923,5.22
5/1/1923,5.16
6/1/1923,5.15
7/1/1923,5.14
8/1/1923,5.08
9/1/1923,5.12
10/1/1923,5.11
11/1/1923,5.09
12/1/1923,5.09
1/1/1924,5.09
2/1/1924,5.09
3/1/1924,5.1
4/1/1924,5.08
5/1/1924,5.04
6/1/1924,4.99
7/1/1924,4.95
8/1/1924,4.95
9/1/1924,4.95
10/1/1924,4.92
11/1/1924,4.94
12/1/1924,4.95
1/1/1925,4.95
2/1/1925,4.95
3/1/1925,4.91
4/1/1925,4.87
5/1/1925,4.83
6/1/1925,4.83
7/1/1925,4.87
8/1/1925,4.9
9/1/1925,4.87
10/1/1925,4.85
11/1/1925,4.84
12/1/1925,4.85
1/1/1926,4.82
2/1/1926,4.77
3/1/1926,4.79
4/1/1926,4.74
5/1/1926,4.71
6/1/1926,4.72
7/1/1926,4.71
8/1/1926,4.72
9/1/1926,4.72
10/1/1926,4.71
11/1/1926,4.68
12/1/1926,4.68
1/1/1927,4.66
2/1/1927,4.67
3/1/1927,4.62
4/1/1927,4.58
5/1/1927,4.57
6/1/1927,4.58
7/1/1927,4.6
8/1/1927,4.56
9/1/1927,4.54
10/1/1927,4.51
11/1/1927,4.49
12/1/1927,4.46
1/1/1928,4.46
2/1/1928,4.46
3/1/1928,4.46
4/1/1928,4.46
5/1/1928,4.49
6/1/1928,4.57
7/1/1928,4.61
8/1/1928,4.64
9/1/1928,4.61
10/1/1928,4.61
11/1/1928,4.58
12/1/1928,4.61
1/1/1929,4.62
2/1/1929,4.66
3/1/1929,4.7
4/1/1929,4.69
5/1/1929,4.7
6/1/1929,4.77
7/1/1929,4.77
8/1/1929,4.79
9/1/1929,4.8
10/1/1929,4.77
11/1/1929,4.76
12/1/1929,4.67
1/1/1930,4.66
2/1/1930,4.69
3/1/1930,4.62
4/1/1930,4.6
5/1/1930,4.6
6/1/1930,4.57
7/1/1930,4.52
8/1/1930,4.47
9/1/1930,4.42
10/1/1930,4.42
11/1/1930,4.47
12/1/1930,4.52
1/1/1931,4.42
2/1/1931,4.43
3/1/1931,4.39
4/1/1931,4.4
5/1/1931,4.37
6/1/1931,4.36
7/1/1931,4.36
8/1/1931,4.4
9/1/1931,4.55
10/1/1931,4.99
11/1/1931,4.94
12/1/1931,5.32
1/1/1932,5.2
2/1/1932,5.23
3/1/1932,4.98
4/1/1932,5.17
5/1/1932,5.36
6/1/1932,5.41
7/1/1932,5.26
8/1/1932,4.91
9/1/1932,4.7
10/1/1932,4.64
11/1/1932,4.63
12/1/1932,4.59
1/1/1933,4.44
2/1/1933,4.48
3/1/1933,4.68
4/1/1933,4.78
5/1/1933,4.63
6/1/1933,4.46
7/1/1933,4.36
8/1/1933,4.3
9/1/1933,4.36
10/1/1933,4.34
11/1/1933,4.54
12/1/1933,4.5
1/1/1934,4.35
2/1/1934,4.2
3/1/1934,4.13
4/1/1934,4.07
5/1/1934,4.01
6/1/1934,3.93
7/1/1934,3.89
8/1/1934,3.93
9/1/1934,3.96
10/1/1934,3.9
11/1/1934,3.86
12/1/1934,3.81
1/1/1935,3.77
2/1/1935,3.69
3/1/1935,3.67
4/1/1935,3.66
5/1/1935,3.65
6/1/1935,3.61
7/1/1935,3.56
8/1/1935,3.6
9/1/1935,3.59
10/1/1935,3.52
11/1/1935,3.47
12/1/1935,3.44
1/1/1936,3.37
2/1/1936,3.32
3/1/1936,3.29
4/1/1936,3.29
5/1/1936,3.27
6/1/1936,3.24
7/1/1936,3.23
8/1/1936,3.21
9/1/1936,3.18
10/1/1936,3.18
11/1/1936,3.15
12/1/1936,3.1
1/1/1937,3.1
2/1/1937,3.22
3/1/1937,3.32
4/1/1937,3.42
5/1/1937,3.33
6/1/1937,3.28
7/1/1937,3.25
8/1/1937,3.24
9/1/1937,3.28
10/1/1937,3.27
11/1/1937,3.24
12/1/1937,3.21
1/1/1938,3.17
2/1/1938,3.2
3/1/1938,3.22
4/1/1938,3.3
5/1/1938,3.22
6/1/1938,3.26
7/1/1938,3.22
8/1/1938,3.18
9/1/1938,3.21
10/1/1938,3.15
11/1/1938,3.1
12/1/1938,3.08
1/1/1939,3.01
2/1/1939,3
3/1/1939,2.99
4/1/1939,3.02
5/1/1939,2.97
6/1/1939,2.92
7/1/1939,2.89
8/1/1939,2.93
9/1/1939,3.25
10/1/1939,3.15
11/1/1939,3
12/1/1939,2.94
1/1/1940,2.88
2/1/1940,2.86
3/1/1940,2.84
4/1/1940,2.82
5/1/1940,2.93
6/1/1940,2.96
7/1/1940,2.88
8/1/1940,2.85
9/1/1940,2.82
10/1/1940,2.79
11/1/1940,2.75
12/1/1940,2.71
1/1/1941,2.75
2/1/1941,2.78
3/1/1941,2.8
4/1/1941,2.82
5/1/1941,2.81
6/1/1941,2.77
7/1/1941,2.74
8/1/1941,2.74
9/1/1941,2.75
10/1/1941,2.73
11/1/1941,2.72
12/1/1941,2.8
1/1/1942,2.83
2/1/1942,2.85
3/1/1942,2.86
4/1/1942,2.83
5/1/1942,2.85
6/1/1942,2.85
7/1/1942,2.83
8/1/1942,2.81
9/1/1942,2.8
10/1/1942,2.8
11/1/1942,2.79
12/1/1942,2.81
1/1/1943,2.79
2/1/1943,2.77
3/1/1943,2.76
4/1/1943,2.76
5/1/1943,2.74
6/1/1943,2.72
7/1/1943,2.69
8/1/1943,2.69
9/1/1943,2.69
10/1/1943,2.7
11/1/1943,2.71
12/1/1943,2.74
1/1/1944,2.72
2/1/1944,2.74
3/1/1944,2.74
4/1/1944,2.74
5/1/1944,2.73
6/1/1944,2.73
7/1/1944,2.72
8/1/1944,2.71
9/1/1944,2.72
10/1/1944,2.72
11/1/1944,2.72
12/1/1944,2.7
1/1/1945,2.69
2/1/1945,2.65
3/1/1945,2.62
4/1/1945,2.61
5/1/1945,2.62
6/1/1945,2.61
7/1/1945,2.6
8/1/1945,2.61
9/1/1945,2.62
10/1/1945,2.62
11/1/1945,2.62
12/1/1945,2.61
1/1/1946,2.54
2/1/1946,2.48
3/1/1946,2.47
4/1/1946,2.46
5/1/1946,2.51
6/1/1946,2.49
7/1/1946,2.48
8/1/1946,2.51
9/1/1946,2.58
10/1/1946,2.6
11/1/1946,2.59
12/1/1946,2.61
1/1/1947,2.57
2/1/1947,2.55
3/1/1947,2.55
4/1/1947,2.53
5/1/1947,2.53
6/1/1947,2.55
7/1/1947,2.55
8/1/1947,2.56
9/1/1947,2.61
10/1/1947,2.7
11/1/1947,2.77
12/1/1947,2.86
1/1/1948,2.86
2/1/1948,2.85
3/1/1948,2.83
4/1/1948,2.78
5/1/1948,2.76
6/1/1948,2.76
7/1/1948,2.81
8/1/1948,2.84
9/1/1948,2.84
10/1/1948,2.84
