DATA_TYPE,Date,MetroArea,Name,SECTOR,SubMarkets,value
CPPI,1/1/2001,Denver,Denver All Types CPPI,ALL,Denver,101.8012
CPPI,4/1/2001,Denver,Denver All Types CPPI,ALL,Denver,101.7647
CPPI,7/1/2001,Denver,Denver All Types CPPI,ALL,Denver,97.65075
CPPI,10/1/2001,Denver,Denver All Types CPPI,ALL,Denver,94.19347
CPPI,1/1/2002,Denver,Denver All Types CPPI,ALL,Denver,91.24156
CPPI,4/1/2002,Denver,Denver All Types CPPI,ALL,Denver,91.5079
CPPI,7/1/2002,Denver,Denver All Types CPPI,ALL,Denver,96.17951
CPPI,10/1/2002,Denver,Denver All Types CPPI,ALL,Denver,99.16479
CPPI,1/1/2003,Denver,Denver All Types CPPI,ALL,Denver,101.7382
CPPI,4/1/2003,Denver,Denver All Types CPPI,ALL,Denver,102.3575
CPPI,7/1/2003,Denver,Denver All Types CPPI,ALL,Denver,98.67167
CPPI,10/1/2003,Denver,Denver All Types CPPI,ALL,Denver,95.62849
CPPI,1/1/2004,Denver,Denver All Types CPPI,ALL,Denver,93.85298
CPPI,4/1/2004,Denver,Denver All Types CPPI,ALL,Denver,94.92452
CPPI,7/1/2004,Denver,Denver All Types CPPI,ALL,Denver,98.99405
CPPI,10/1/2004,Denver,Denver All Types CPPI,ALL,Denver,105.1542
CPPI,1/1/2005,Denver,Denver All Types CPPI,ALL,Denver,112.1028
CPPI,4/1/2005,Denver,Denver All Types CPPI,ALL,Denver,116.4572
CPPI,7/1/2005,Denver,Denver All Types CPPI,ALL,Denver,119.7649
CPPI,10/1/2005,Denver,Denver All Types CPPI,ALL,Denver,121.394
CPPI,1/1/2006,Denver,Denver All Types CPPI,ALL,Denver,118.9692
CPPI,4/1/2006,Denver,Denver All Types CPPI,ALL,Denver,118.8239
CPPI,7/1/2006,Denver,Denver All Types CPPI,ALL,Denver,121.0681
CPPI,10/1/2006,Denver,Denver All Types CPPI,ALL,Denver,125.4108
CPPI,1/1/2007,Denver,Denver All Types CPPI,ALL,Denver,133.0149
CPPI,4/1/2007,Denver,Denver All Types CPPI,ALL,Denver,140.6377
CPPI,7/1/2007,Denver,Denver All Types CPPI,ALL,Denver,147.4957
CPPI,10/1/2007,Denver,Denver All Types CPPI,ALL,Denver,149.4142
CPPI,1/1/2008,Denver,Denver All Types CPPI,ALL,Denver,144.5503
CPPI,4/1/2008,Denver,Denver All Types CPPI,ALL,Denver,136.0763
CPPI,7/1/2008,Denver,Denver All Types CPPI,ALL,Denver,125.1873
CPPI,10/1/2008,Denver,Denver All Types CPPI,ALL,Denver,115.2212
CPPI,1/1/2009,Denver,Denver All Types CPPI,ALL,Denver,106.1423
CPPI,4/1/2009,Denver,Denver All Types CPPI,ALL,Denver,98.43766
CPPI,7/1/2009,Denver,Denver All Types CPPI,ALL,Denver,90.63649
