DATA_TYPE,Date,GEOGRAPHY,Name,SECTOR,value
PF1,1/1/2001,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,153.8679672
PF1,4/1/2001,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,140.4824113
PF1,7/1/2001,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,130.4112489
PF1,10/1/2001,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,123.0343157
PF1,1/1/2002,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,77.71591175
PF1,4/1/2002,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,106.8719349
PF1,7/1/2002,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,98.37356016
PF1,10/1/2002,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,105.2735857
PF1,1/1/2003,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,96.04306591
PF1,4/1/2003,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,104.5397183
PF1,7/1/2003,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,120.1225987
PF1,10/1/2003,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,101.2191308
PF1,1/1/2004,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,133.7337168
PF1,4/1/2004,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,129.289465
PF1,7/1/2004,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,178.371135
PF1,10/1/2004,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,132.0186392
PF1,1/1/2005,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,109.0643001
PF1,4/1/2005,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,115.9587248
PF1,7/1/2005,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,159.6965233
PF1,10/1/2005,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,134.8677062
PF1,1/1/2006,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,140.0692952
PF1,4/1/2006,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,104.0233474
PF1,7/1/2006,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,101.921648
PF1,10/1/2006,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,104.2001209
PF1,1/1/2007,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,100.739227
PF1,4/1/2007,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,109.009482
PF1,7/1/2007,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,112.221604
PF1,10/1/2007,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,106.6556756
PF1,1/1/2008,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,109.100337
PF1,4/1/2008,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,85.12701204
PF1,7/1/2008,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,122.5054526
PF1,10/1/2008,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,72.62710048
PF1,1/1/2009,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,101.383355
PF1,4/1/2009,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,86.97213604
PF1,7/1/2009,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,85.39477159
PF1,10/1/2009,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,83.54119252
PF1,1/1/2010,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,94.20495602
PF1,4/1/2010,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,96.18883925
PF1,7/1/2010,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,107.1894873
PF1,10/1/2010,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,124.4637554
PF1,1/1/2011,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,90.94951137
PF1,4/1/2011,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,91.06269999
PF1,7/1/2011,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,116.1471148
PF1,10/1/2011,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,102.7408863
PF1,1/1/2012,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,91.20574661
PF1,4/1/2012,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,85.79699813
PF1,7/1/2012,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,90.33382924
PF1,10/1/2012,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,105.8525555
PF1,1/1/2013,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,102.5027423
PF1,4/1/2013,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,87.39182195
PF1,7/1/2013,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,95.6322932
PF1,10/1/2013,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,100.1002668
PF1,1/1/2014,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,100.0637532
PF1,4/1/2014,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,109.7694854
PF1,7/1/2014,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,112.9088222
PF1,10/1/2014,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,126.3123842
PF1,1/1/2015,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,125.0660183
PF1,4/1/2015,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,119.1604499
PF1,7/1/2015,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,118.6604075
PF1,10/1/2015,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,119.9641841
PF1,1/1/2016,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,122.7620107
PF1,4/1/2016,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,124.7659925
PF1,7/1/2016,RCA - US Southeast,RCA - US Southeast Apartment Price ($/SqFt),APT,140.9622318
PP1,1/1/2001,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,54793.925
PP1,4/1/2001,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,60481.0761
PP1,7/1/2001,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,58393.9159
PP1,10/1/2001,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,66917.8393
PP1,1/1/2002,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,52585.7373
PP1,4/1/2002,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,60554.9351
PP1,7/1/2002,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,56605.82
PP1,10/1/2002,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,59826.3226
PP1,1/1/2003,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,57022.0156
PP1,4/1/2003,RCA - US Southeast,RCA - US Southeast Apartment Price ($/Unit),APT,59251.618
