DATA_TYPE,Date,GEOGRAPHY,Name,SECTOR,value
PF1,1/1/2001,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,4/1/2001,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,7/1/2001,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,10/1/2001,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,1/1/2002,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,4/1/2002,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,7/1/2002,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,10/1/2002,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,1/1/2003,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,4/1/2003,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,7/1/2003,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,10/1/2003,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,206.3321953
PF1,1/1/2004,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,195.1635812
PF1,4/1/2004,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,7/1/2004,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,92.9727247
PF1,10/1/2004,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,89.53731967
PF1,1/1/2005,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,214.6662765
PF1,4/1/2005,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,249.0849239
PF1,7/1/2005,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,229.6870863
PF1,10/1/2005,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,347.1706377
PF1,1/1/2006,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,232.4775273
PF1,4/1/2006,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,150.0148217
PF1,7/1/2006,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,195.5491026
PF1,10/1/2006,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,250.1661721
PF1,1/1/2007,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,185.7695324
PF1,4/1/2007,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,88.99193697
PF1,7/1/2007,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,213.5496343
PF1,10/1/2007,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,141.2695874
PF1,1/1/2008,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,185.0866837
PF1,4/1/2008,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,381.3655004
PF1,7/1/2008,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,99.83061882
PF1,10/1/2008,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,148.6027907
PF1,1/1/2009,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,113.7489667
PF1,4/1/2009,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,77.84159036
PF1,7/1/2009,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,10/1/2009,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,90.49946242
PF1,1/1/2010,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,
PF1,4/1/2010,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,91.43579662
PF1,7/1/2010,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,154.9457574
PF1,10/1/2010,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,194.3587081
PF1,1/1/2011,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,429.1457408
PF1,4/1/2011,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,264.0531988
PF1,7/1/2011,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,107.2531003
PF1,10/1/2011,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,91.95400059
PF1,1/1/2012,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,121.8849799
PF1,4/1/2012,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,130.2192521
PF1,7/1/2012,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,201.9648572
PF1,10/1/2012,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,197.1923931
PF1,1/1/2013,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,102.1764529
PF1,4/1/2013,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,156.0573793
PF1,7/1/2013,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,132.004097
PF1,10/1/2013,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,203.7064501
PF1,1/1/2014,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,147.2731318
PF1,4/1/2014,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,292.1083394
PF1,7/1/2014,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,311.2221179
PF1,10/1/2014,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,151.8054544
PF1,1/1/2015,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,232.9770476
PF1,4/1/2015,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,201.3670563
PF1,7/1/2015,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,195.8301776
PF1,10/1/2015,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,202.4285849
PF1,1/1/2016,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,175.9280352
PF1,4/1/2016,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,293.2694545
PF1,7/1/2016,Pennsylvania,Pennsylvania Apartment Price ($/SqFt),APT,118.4991764
PP1,1/1/2001,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,
PP1,4/1/2001,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,67851.4217
PP1,7/1/2001,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,56866.8214
PP1,10/1/2001,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,57302.4054
PP1,1/1/2002,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,49098.3399
PP1,4/1/2002,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,40962.7705
PP1,7/1/2002,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,50607.2351
PP1,10/1/2002,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,73415.0326
PP1,1/1/2003,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,169642.8571
PP1,4/1/2003,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,42784.1365
PP1,7/1/2003,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,70644.7688
PP1,10/1/2003,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,74021.7391
PP1,1/1/2004,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,49187.9246
PP1,4/1/2004,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,112117.7802
PP1,7/1/2004,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,78454.6583
PP1,10/1/2004,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,54384.6604
PP1,1/1/2005,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,112084.5528
PP1,4/1/2005,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,71824.8827
PP1,7/1/2005,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,106917.2192
PP1,10/1/2005,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,81575.0885
PP1,1/1/2006,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,91477.4444
PP1,4/1/2006,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,131512.7388
PP1,7/1/2006,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,65162.8906
PP1,10/1/2006,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,78098.3554
PP1,1/1/2007,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,66492.2277
PP1,4/1/2007,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,62459.3506
PP1,7/1/2007,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,102432.2924
PP1,10/1/2007,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,95861.1599
PP1,1/1/2008,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,64301.2949
PP1,4/1/2008,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,72230.2815
PP1,7/1/2008,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,81297.619
PP1,10/1/2008,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,98576.3386
PP1,1/1/2009,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,52402.2698
PP1,4/1/2009,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,62403.0612
PP1,7/1/2009,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,23486.9565
PP1,10/1/2009,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,72054.4747
PP1,1/1/2010,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,55432.4894
PP1,4/1/2010,Pennsylvania,Pennsylvania Apartment Price ($/Unit),APT,49106.9767
